t_shift,absolute_ATE,absolute_ATE_std,relative_ATE,relative_ATE_std,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,0.0003488875268709385,0.002613115369634544,0.014570664688333311,0.13600951488884874,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.020286475113160042,0.0049219613232568266,0.019937587586289104,0.0037866196252837043,0.00025983807120638413,0.002164004450184254
1,0.012361974905864664,0.02361005121904679,0.6174018755606785,1.1780772210515797,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.03213945277509365,0.02441379195858958,0.01977747786922898,0.0037352923263534966,0.009892471203597979,0.018919258296208937
2,0.011807262708716404,0.021919949385367794,0.5738436296797729,1.0447217876951707,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.03159206227633181,0.023057057729582157,0.019784799567615405,0.0037144993070473125,0.009346442934316334,0.017216825677446233
3,0.010860138217867995,0.019992615079658972,0.5167304965429761,0.9328565850940648,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.030657581623268353,0.02137883332346765,0.019797443405400364,0.003705008968551586,0.008522900308093865,0.015568261310940886
4,0.009466380213985411,0.01881502779386587,0.4328545898820228,0.8437808671798047,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.029282319178149257,0.020516385656977887,0.019815938964163848,0.003688604074188567,0.007296075513853258,0.014406153805350609
5,0.008041333560253928,0.017001641266965847,0.35910869257717315,0.7451927547984425,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.02787635308870422,0.018882118415916516,0.01983501952845029,0.003689069692714938,0.006130606910754549,0.012871306399128715
6,0.0038333382880052416,0.00928897470690463,0.16296522939470734,0.3730201876958918,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.02372445595099899,0.011579722670659872,0.019891117662993743,0.0037297998477486484,0.002869845909173062,0.006764837739001673
7,0.0022610172534541046,0.007379896774746691,0.08893330962954177,0.30154921014758373,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.022172986519413608,0.009758040941804904,0.019911969265959503,0.003743262617952627,0.001636463838691356,0.005428015583324157
8,0.001266065445787155,0.005063148662351258,0.04859356482856146,0.21016057301257166,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.02119138898116319,0.007521466759257184,0.01992532353537603,0.0037617428070391306,0.0009048785462344572,0.0037465431321829362
9,0.0007931390703486345,0.003739463780745298,0.0315501975930062,0.16947230863853677,0.013395250000000001,0.0002592926676556821,0.019942249999999998,0.003792140548226028,0.02072479748208286,0.006150861582723662,0.019931658411734225,0.0037748506069822086,0.0005757103193972122,0.0028862917038335253
