t_shift,absolute_ATE,absolute_ATE_std,relative_ATE,relative_ATE_std,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,0.008537308787002896,0.06470109539180548,0.33056864602469405,2.13135126768661,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.026533094362806334,0.0660865867205191,0.01799578557580344,0.0045998971851107006,0.008117349963376585,0.061890286370737846
1,0.05213345178347177,0.0784035729227988,2.8137354403767616,3.2789763551040574,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.06949423391971285,0.08009085946183549,0.017360782136241072,0.00425895374382651,0.045225885368686186,0.07197290994589554
2,0.044473510826009276,0.07358316493758797,2.287264049541096,2.8158444401234792,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.06195206772428759,0.07563914171653811,0.01747855689827831,0.004256869656867413,0.03821013521130589,0.06799715322978712
3,0.03766400820065034,0.07078425097958772,1.8645244483267072,2.569319058809361,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.05524464706218741,0.07298820011844005,0.017580638861537063,0.004285934666554044,0.03219294307214278,0.06585452399726381
4,0.03184793200832085,0.0687882791431481,1.5276969125216093,2.4208305691170096,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.04951373534059026,0.07102163140802767,0.01766580333226942,0.004321645772204,0.027173564699090696,0.06447103777952234
5,0.027805047264027518,0.06744267144533783,1.2992230015156536,2.307742988932276,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.04553472551798089,0.06969022471796356,0.017729678253953385,0.004363447102220126,0.023663798095936394,0.06339539554399067
6,0.012182432544596975,0.06508753607974474,0.45415283574692,2.152343894212007,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.03013338843794481,0.06700807703422676,0.01795095589334784,0.00449480632009407,0.010501503292260104,0.06201199222391358
7,0.010407251119230241,0.06458270617672353,0.39086973076687853,2.1187710421886594,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.02838279506301207,0.06627959727587446,0.017975543943781837,0.004541490832307116,0.009238438892313648,0.06170864123525852
8,0.009037269724360057,0.064427157287391,0.33195097947364177,2.1112558611123506,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.027031816596563094,0.06598818486639153,0.017994546872203036,0.004568324839145902,0.008186553936352424,0.061653939916879015
9,0.007583594605175609,0.06418604117037956,0.26288301771502004,2.0892953001478913,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.025599844527586856,0.06566258285388932,0.018016249922411246,0.0045929981431194035,0.007013183706766643,0.06144253564354772
10,0.007344752302174793,0.06405132153067547,0.2607339128560187,2.0771449245686395,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.025364319141515122,0.06547210511978081,0.018019566839340334,0.0046078028167574345,0.006911031365476792,0.06132208209251306
11,0.006665494018013184,0.06372079414899559,0.22237183004098846,2.0480584835419617,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024697242662222032,0.06516322994107952,0.01803174864420886,0.004615851794145945,0.006294943298357688,0.06101014031561904
12,0.006330290313666518,0.06367018555218297,0.20547613721399344,2.0423653073582457,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024366104514919232,0.06508281512208926,0.01803581420125271,0.0046244352012698,0.0060548832469169925,0.06095427638110288
13,0.0065365356321111096,0.06346272077691216,0.21166606006068783,2.026307598865363,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024571414325518834,0.06493151084372963,0.01803487869340773,0.004620236789897054,0.0061651193739318795,0.06076883524540106
14,0.006485977772587037,0.06313098146367983,0.21812800225517903,1.9976243465008168,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024523905325912594,0.06456919104137593,0.018037927553325547,0.004637461939649176,0.006182223483978171,0.06044879467559675
15,0.006095413523037198,0.06298531287977799,0.19559284399420623,1.984453043637344,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024139774561345823,0.06443148582567221,0.01804436103830862,0.0046424240422739205,0.005839503012645076,0.0603086333680832
16,0.006130037789122832,0.06293395147991644,0.19823376497195572,1.9809337933091302,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024174456119514624,0.06437589558029393,0.018044418330391793,0.004644521989224855,0.0058648344000294984,0.06026563874621058
17,0.005990540642061631,0.06288640496370405,0.19056095912242826,1.9767606487690947,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024037457253248146,0.06432893960845394,0.018046916611186507,0.004646519479928781,0.005739067715119965,0.06021808142444526
18,0.0061520314225721245,0.06248742392569543,0.19326448028437285,1.944823369849219,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024198312296585884,0.0639904195630432,0.018046280874013765,0.0046495184307664104,0.005857859972447009,0.05983674396770492
19,0.0058532943606827035,0.06246626410351052,0.18186864408948966,1.942243385411824,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.023904066655243895,0.06393407978782616,0.018050772294561177,0.0046565918678503895,0.0056318927749920405,0.059814288466617814
20,0.0066257314517999925,0.062093924335620825,0.22696998479344882,1.9135455706170794,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024667648371460748,0.06359036508659886,0.01804191691966076,0.004662764545464945,0.0063203912941669615,0.05946365878463078
21,0.006034727073361934,0.062200912518810436,0.19118161857792307,1.9213142301017776,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.02408463286092015,0.06369562081900283,0.018049905787558215,0.0046614539084832915,0.005782315178619424,0.05956452689594732
22,0.006010909854762305,0.062041505665974855,0.1867601467144365,1.9084062120030594,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024061689339007007,0.0635655741742147,0.0180507794842447,0.004660887041165154,0.005746729748058666,0.059409582965009415
23,0.00609349512456514,0.061648789727409635,0.19445437855827566,1.8776298000457414,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.024145385197833442,0.06318681816697262,0.018051890073268295,0.004672977869189723,0.0058451614107878575,0.059034735029552726
24,0.005922245266870047,0.061495380111872694,0.18430618477588687,1.8653656049814422,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.023977974615901156,0.06305020968596799,0.01805572934903111,0.004676432607800685,0.005677763378408475,0.05888767988659101
25,0.00574108577359093,0.06132845505813906,0.17285261380495806,1.85152998106999,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.023800777205441808,0.06288964635314703,0.018059691431850884,0.004681517354044789,0.005499863649081024,0.058728633399074796
26,0.00610002726655882,0.06107496362063333,0.19823111949426944,1.8327234903801828,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.02415563762417765,0.06262298858055598,0.018055610357618827,0.004692378753194741,0.005869056346083526,0.05848127532889566
27,0.006095921153947742,0.06104419120166676,0.1922936073100649,1.831889943841525,0.014343403361344535,0.006002728088924946,0.0184994537815126,0.007598913312123963,0.02415167608042122,0.06264176366926003,0.018055754926473475,0.004685061680171324,0.005822725966528408,0.0584553646407165
