t_shift,absolute_ATE,absolute_ATE_std,absolute_ATE_se,relative_ATE,relative_ATE_std,relative_ATE_se,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,0.012846295421936296,0.07036746072258444,0.006370770553636803,0.46591583834848493,2.890258395171961,0.2616717000625458,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.033580368846482224,0.07614358377451198,0.020734073424545942,0.013033560739807982,0.010941740159507137,0.0634676898861939
1,0.05125742190471405,0.0774945455273142,0.007016026493541309,2.5328036662769153,3.675373125123148,0.33275264786764697,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.07142222829152868,0.08347209899176987,0.02016480638681463,0.012930262063540083,0.04318281950400587,0.06946490239584174
2,0.04613830504688738,0.07592227361712225,0.0068736796831703854,2.1583816489501086,3.3105322309420475,0.2997215053261415,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.06638433952903437,0.08274817274045893,0.02024603448214697,0.012852894385842658,0.03818369007982035,0.06685941230329344
3,0.04142524514945156,0.0753823708290113,0.0068247991814583235,1.8488819552741849,3.1415243507274497,0.28442025080384825,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.06174399773184148,0.08264410514222657,0.02031875258238991,0.012816529206357482,0.03377460610974468,0.06581104784225149
4,0.03695003211118854,0.07518553368537581,0.006806978383810406,1.5761247510356595,3.002658090207117,0.2718478903075053,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.05733705577984316,0.08280937694849028,0.020387023668654622,0.01277962179268864,0.029720758188441488,0.06497037405749459
5,0.03287941146451026,0.07565394067718506,0.006849385960265388,1.3409810091947645,2.930580687630551,0.2653223088924289,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.0533264853715373,0.08351922516029116,0.02044707390702704,0.012741605678733869,0.026096823327472384,0.06467076861429803
6,0.01911762344993236,0.07337401990712929,0.006642971632430556,0.6439979135495297,2.7641405858713224,0.2502535301082644,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.039768766675124544,0.08109299431433802,0.020651143225192178,0.01279002668722662,0.014711877286915122,0.06325166799918208
7,0.016368817581052617,0.07200312366396465,0.00651885651830876,0.5214648385640326,2.6919351117116013,0.24371635363686028,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03706337505607748,0.07964580918072178,0.02069455747502486,0.01282283758644631,0.012564784879358462,0.06238350897206666
8,0.014919239114112666,0.07125120228160665,0.006450780754991657,0.4665201966700072,2.646903355104838,0.23963936995686183,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03563647083389707,0.07879258069078389,0.020717231719784405,0.012843852842084532,0.011529450699556397,0.0618637803748686
9,0.013077987924130875,0.07041437057711626,0.0063750175723135865,0.3894854582670593,2.5863607002772597,0.23415809553465236,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.033825848313020934,0.07787084407472361,0.020747860388890055,0.01286724914503815,0.010108065277890292,0.06124807904897759
10,0.012389715476882397,0.06947075221835289,0.006289586380223529,0.36601176712304245,2.5220620722271088,0.22833677127462154,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.033151842374423236,0.07689325995959537,0.02076212689754084,0.012887994167595215,0.009618868724585481,0.06055499794966418
11,0.011815673573089025,0.06871268769227172,0.006220954442806401,0.34285331382366324,2.4877337599799447,0.22522883191494397,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.032589653546489704,0.0760905108911205,0.020773979973400677,0.012908110588830164,0.009167648183596869,0.06009604664065667
12,0.011323664662785126,0.06781996436600826,0.0061401310704535805,0.32389215552091855,2.429450037076531,0.219952071579748,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03210881682045605,0.07517856055798583,0.020785152157670926,0.012927543556213705,0.008804773489061491,0.05946254213988424
13,0.010244454110645028,0.06719058542254187,0.0060831497782633985,0.27632766478514315,2.3832935173552783,0.2157732566320582,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.031047618711116512,0.0745059136339454,0.020803164600471487,0.0129446053530829,0.007980838724954404,0.058991497406863345
14,0.010875512779608016,0.06652284988893267,0.0060226958435689905,0.31488508933308423,2.3487130024487026,0.2126424839164569,0.014637682926829267,0.00542873696897597,0.021276056910569104,0.014353498670574786,0.03167226708274449,0.07380917208646606,0.02079675430313647,0.012958991029767048,0.008560384343462821,0.05854655674990489
