t_shift,absolute_ATE,absolute_ATE_std,absolute_ATE_se,relative_ATE,relative_ATE_std,relative_ATE_se,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,-0.0004493841903813864,0.00235886890547521,0.00021356195617369726,-0.02817505458474166,0.13144061049385028,0.011900073731344824,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01752524466543217,0.004356973912223338,0.017974628855813555,0.0033591548525221484,-0.000413333075134538,0.0020311683652571486
1,0.0320278594548144,0.030823093304731843,0.0027905917476820554,1.8046585890027982,1.66913566008471,0.15111644223194085,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.04956780612289196,0.03189855925323832,0.017539946668077552,0.0032204462509182953,0.027166119446646136,0.025154078317349084
2,0.027541075370939513,0.02518635984507248,0.002280265878668968,1.5026832595866448,1.2144594009978538,0.10995198790769085,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.04514088623006505,0.02688536613291896,0.017599810859125535,0.0031844295162351604,0.023118924650197274,0.019523681446300203
3,0.023976065066161557,0.0223324086862864,0.0020218812813393603,1.2739423598147344,1.0023793089770625,0.09075115855582255,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.041623629755798044,0.024444570825408917,0.01764756468963648,0.003166210708175903,0.01992027006145239,0.016828480002194845
4,0.019932327111424907,0.019463627819154134,0.0017621540653010375,1.037591708921556,0.8306856079348417,0.07520674124116394,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.03763419861765122,0.021821113134377165,0.017701871506226305,0.0031730927860640318,0.016428142375275682,0.014390047949419458
5,0.016626495388356498,0.017128199058513795,0.0015507142801273097,0.8549585532811441,0.7099568152178041,0.06427646992371436,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.03437240921087189,0.0195864852093317,0.0177459138225154,0.003190641131884761,0.013648522227041219,0.012525239249181986
6,0.005128875665533572,0.00834461428863725,0.0007554858800588335,0.2404394056216063,0.37828297961418456,0.034248131774557024,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.02302876290226551,0.010994928524753858,0.017899887236731943,0.0032796812956107126,0.004049323543026646,0.0064265430722169024
7,0.0027616725232595626,0.0059598980404539275,0.0005395838154298406,0.12119744575044522,0.26704128216123024,0.024176781704617678,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.020693369486983245,0.008657258964105711,0.01793169696372368,0.003305116313029167,0.002113887929666723,0.004566697920729588
8,0.0017290932552802866,0.004192890180896821,0.0003796064406018441,0.0789760402561111,0.21088750029583264,0.019092857170325054,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.019674425565517423,0.006655889105483068,0.017945332310237132,0.003331874596980127,0.001354425184820867,0.0034031692540001097
9,0.0004700491389768278,0.0033851325636879586,0.0003064755021063127,0.01665913161573327,0.1815307020876286,0.016435017543125634,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.018432358361899152,0.005499304634450616,0.017962309222922326,0.003348275804545405,0.0003295522884951648,0.002848929008628539
10,0.00042668512322135624,0.0029193547454175674,0.0002643059598391462,0.021014739449778237,0.15838794512910484,0.014339770776404994,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01838961291929759,0.004737459862063241,0.017962927796076236,0.003358178920782806,0.00034428308198966085,0.0024713231168379244
11,1.5262120352061207e-05,0.0027596577991407926,0.0002498476776672664,-7.922179738212129e-05,0.1639097099161046,0.014839687870867327,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017983794696069984,0.004450948578192578,0.017968532575717924,0.003361661780249268,3.091945192717067e-07,0.0024563670146443947
12,-2.2240117944842564e-07,0.0028756962487843864,0.0002603533052753664,-8.105224779135625e-05,0.16647729389991953,0.015072146002368832,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017968307340824365,0.004450705852272928,0.017968529742003816,0.0033629827855013728,5.335370592757652e-07,0.0025199056841740753
13,-0.0006845586020154551,0.002404678270413992,0.00021770934120416384,-0.0385989496939364,0.13728781744149104,0.012429454974614477,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017293368485137312,0.004060552283094664,0.01797792708715277,0.003364696744190943,-0.0005989183979606264,0.002089784302943563
14,0.00018235332669711465,0.002487868969918581,0.00022524107324761082,0.011311448316833308,0.1445844968495157,0.013090065288453074,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01814857757991917,0.004109106820406754,0.017966224253222057,0.0033647944176886714,0.00016407495320817022,0.0021929040076655187
15,-0.00036590266780075104,0.002552898076554848,0.00023112853193140372,-0.017283808651988124,0.14727421724428882,0.013333581131039635,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017607697339607487,0.0039573058083054455,0.017973600007408237,0.0033678509888274218,-0.00029638363881507993,0.0022341003349203455
16,-6.078912492798824e-05,0.0026118127605870415,0.0002364624168031176,-0.007158683226920005,0.14880807372332633,0.013472449971691445,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01790873194467134,0.004510101900687733,0.017969521069599332,0.003358900822969061,-8.415042810575824e-05,0.0022687141798086673
17,-0.00025293536516883005,0.0024986743732597094,0.0002262193485003902,-0.015586320015694297,0.13635395355291524,0.012344906910760102,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01771922355401399,0.004198641886074835,0.01797215891918282,0.00336337756577847,-0.00023347550247133266,0.002116912670325057
18,4.629960008517262e-06,0.0025426985873461057,0.00023020511356663766,-0.0040720364755023825,0.14349148298980474,0.012991108463229328,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.01797324416680002,0.004605128753182887,0.0179686142067915,0.0033564961920266602,-3.3239242033889334e-05,0.0022014791505303114
19,-0.00025690908898837005,0.002563965653357876,0.00023213054325414877,-0.014129110621604412,0.14264531633980523,0.012914500134295327,0.013403455284552843,0.0002875464826907918,0.017968658536585365,0.003363608451999443,0.017715249100019034,0.00409700865347077,0.017972158189007405,0.0033657264845730265,-0.00022227881572839397,0.0022056952901631454
