t_shift,absolute_ATE,absolute_ATE_std,absolute_ATE_se,relative_ATE,relative_ATE_std,relative_ATE_se,p_source,p_source_std,p_sink,p_sink_std,p_sink_given_source,p_sink_given_source_std,p_sink_given_not_source,p_sink_given_not_source_std,correlation,correlation_std
0,0.00022833718226714095,0.0026368025390543777,0.00023490504042183565,0.01303459661070775,0.13718189192743108,0.012221134268140406,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.020125049236734582,0.005125119953286925,0.019896712054467452,0.004601599534348733,0.0002005079756983221,0.0021802940206967648
1,0.039991738261056335,0.03139868396628366,0.0027972170904149,2.0374545683292387,1.5345532881715735,0.13670887252584307,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.05935640792659145,0.03319050016224287,0.019364669665535114,0.004437647267710818,0.03229061857482505,0.024305922672521768
2,0.035612026287731205,0.02634668783242328,0.002347149503457469,1.7609867247189803,1.1404510600459845,0.10159945554941024,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.05503547729995967,0.029069751579450798,0.019423451012228476,0.00438963097899164,0.02843789379463592,0.019222300719118852
3,0.03197948670139923,0.02394284767440417,0.00213299840146042,1.5429846281174084,0.9487029419849851,0.08451717549362595,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.0514515815231495,0.027242592656323845,0.01947209482175027,0.004363933115545348,0.02528328719628388,0.016826795965335307
4,0.027180771673908383,0.02230711200604275,0.0019872754860715126,1.2831231049353535,0.8064177469364582,0.07184140284881901,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.04671711271009192,0.02587530651556124,0.019536341036183534,0.004360762869954687,0.02129584621695006,0.015067202013686536
5,0.024562518021970334,0.02197020220643168,0.0019572611755860054,1.1388547043723651,0.7670552839941651,0.06833471593858932,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.044133854514888306,0.025654602686006885,0.019571336492917955,0.004355454045890245,0.019090540093022152,0.0146443499303911
6,0.008539455029286692,0.014457052303965157,0.0012879365843835348,0.3455932608770403,0.5172058480880274,0.046076359094791644,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.028325075484721855,0.01819240257771265,0.019785620455435166,0.004443616051425443,0.006242046292513356,0.009829998879253777
7,0.005810223103740676,0.011337332328232228,0.0010100098393390745,0.2263955752978654,0.3974284108570449,0.03540573688564502,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.02563231539044629,0.015094440178563033,0.019822092286705614,0.004479678629119651,0.0041781454329371396,0.0076497084500552264
8,0.0037789644221257685,0.00854417693960668,0.0007611757799995929,0.14599960873605666,0.3080120005672347,0.02743988993184317,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.023628231347998407,0.012134440527203413,0.01984926692587264,0.00451859263490253,0.002706601127475161,0.00586236549303024
9,0.0016787643399376868,0.005848091337540395,0.0005209893845627791,0.05640553278831324,0.22754971856012382,0.020271740126400446,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.021556123663683317,0.009379970826306422,0.019877359323745628,0.004549911680557056,0.001129507396034698,0.00416218654865205
10,0.0010197428718897346,0.003986412703014913,0.00035513786992774345,0.038104506704556104,0.17202720526744636,0.015325401507500424,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.020905921003751736,0.00722391561550673,0.019886178131862005,0.004576198374446116,0.0007203208309514118,0.002984270848734634
11,0.0006016820806675005,0.0031079965884469605,0.00027688234269597094,0.023672273733815884,0.14589224351999783,0.012997114062848158,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.020493446690866467,0.006284479113734375,0.01989176461019896,0.004585991773172536,0.00043257081817484625,0.002430280954307802
12,5.289622071385522e-05,0.003118009743396167,0.00027777438543836645,-0.0010531166585762272,0.1502447929566194,0.013384869985487059,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.01995208405621554,0.00592063447808855,0.01989918783550168,0.004592748505601563,5.675723910106724e-06,0.002464255097552155
13,0.00031070793252862823,0.003145599128611144,0.00028023224322375147,0.01648967166378873,0.16085143842307445,0.014329785065450247,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.020206383369296813,0.005565702539874492,0.01989567543676819,0.004598939154014063,0.00025692988260698997,0.0025795414796628098
14,0.0004644733734174718,0.0024579977930568107,0.0002189758475967872,0.02583896469802023,0.1270150077877379,0.011315396240955695,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.02035811398497855,0.005106631689607855,0.019893640611561077,0.004600544810195809,0.00039652018548427755,0.0020306954421904664
15,-0.00019018318592521936,0.0027060898060298454,0.0002410776407620294,-0.010973764979874543,0.13423171982628573,0.011958312048271243,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019712115322780006,0.005299286385663198,0.019902298508705233,0.004599458169534332,-0.00016495988339994023,0.0021831236599895616
16,0.0001291676916040958,0.002963433051921787,0.0002640035992603143,0.010507795486954338,0.15099445218458996,0.013451654937579898,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.02002723691739664,0.0052635878506653465,0.019898069225792556,0.00460206277170013,0.00013318427413136282,0.0024177539630327576
17,-5.179539872362658e-05,0.002511683783593213,0.00022375857576480642,-0.0040959911049443225,0.13300729882312246,0.011849231955628217,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.01984870816345381,0.005408714887501909,0.019900503562177443,0.004596293688447408,-5.77168329113739e-05,0.0020943806245070948
18,-0.0002036071665368939,0.0026834070599108355,0.00023905690112944577,-0.005578222696480803,0.13807000433838906,0.012300253610110562,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019699052944489943,0.004996558868135809,0.01990266011102684,0.0046039420038344134,-0.0001368815365975003,0.0022093674249357765
19,-0.00031515012734502335,0.002413005981180728,0.00021496765842415652,-0.013754882571267505,0.12384807049933749,0.011033263043370142,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.01958886484306902,0.005016170089299187,0.01990401497041404,0.004601476986076446,-0.0002442726156887003,0.001984072998772104
20,-9.170636729085868e-05,0.0025148006844798285,0.00022403625136543129,-0.006725854351649048,0.1288515741948337,0.011479010580560717,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.0198093157526808,0.005482272898040134,0.01990102211997166,0.004595174131444859,-9.520963405222975e-05,0.002064649509192461
21,-0.0006796727065198804,0.002696795402431626,0.00024024962947919758,-0.03994546631323812,0.13811909836349123,0.012304627253483658,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019229210446674035,0.0055868432121184315,0.01990888315319391,0.004594711552843385,-0.0006030600480072785,0.0022056014695489247
22,0.0003635367183036576,0.0024324436239026885,0.00021669930126873023,0.020707404254675307,0.1208605320171163,0.010767111961696944,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.020258493753076326,0.005044486961621868,0.019894957034772662,0.004601268686393898,0.0003152578622205993,0.0019683875047289134
23,0.0002086701190501934,0.0027339108017365122,0.00024355613204996406,0.005004767437414822,0.13255256112956576,0.011808720702053433,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.02010566175323396,0.00587245225073934,0.019896991634183767,0.0045903002096155925,0.00012411870389655348,0.002172572167420052
24,-0.00037507359243700437,0.0029046459518888342,0.00025876642813923534,-0.025752820024564648,0.1522129584391334,0.013560208102535679,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019529658490333033,0.0058991864934384705,0.019904732082770046,0.0045912780933397065,-0.00036197182218490744,0.0024079497049854996
25,2.6380710676149143e-05,0.0027301485231698876,0.00024322096163591854,0.0014016602220878961,0.1389617537188283,0.012379696959074172,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019925806436961783,0.0054390147652462195,0.019899425726285634,0.0045973950524266435,1.8570125967276835e-05,0.002217327221504165
26,7.461977123625995e-05,0.002883718317676503,0.0002569020463026098,0.006045411110429345,0.14369192920221496,0.012801094483792045,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019973366662461304,0.005071913947858046,0.019898746891225044,0.004604343504751925,8.266458949036317e-05,0.0023219446179331134
27,-0.0001994516280327169,0.002794726430669644,0.0002489740188887487,-0.011569011479703082,0.1380299965597818,0.01229668943391165,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.01970300694382366,0.0054880787474642255,0.01990245857185638,0.004597154206867642,-0.00017792123060781693,0.0022506409053207675
28,-0.00024186272936677178,0.002651186522561921,0.00023618646752046024,-0.012704272403023971,0.13317234189968769,0.011863935161498841,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019661154345292472,0.0052357140792612025,0.019903017074659243,0.004599907843732251,-0.0002025205804242608,0.002162137001871382
29,-0.0004891736742535292,0.002740135747404171,0.00024411069428662265,-0.026265012413805144,0.1397978803007679,0.012454185035302559,0.013370905511811025,0.00026316847192490447,0.019899803149606304,0.0045990615441885725,0.019417074655409976,0.005378272329242219,0.019906248329663513,0.004598529839280878,-0.0004125987521290622,0.002249804752878073
