neurons,conditional_entropy,std
3,0.12492783587558323,0.02464427859020213
4,0.1249874346358111,0.024131415036076465
5,0.13370970152915804,0.026396038081844663
6,0.12642213936232,0.020890346500178424
7,0.13778434862767996,0.02572443573731409
8,0.1353103512055852,0.023071895648528348
9,0.1385882342612492,0.023149260472478044
10,0.136071546635418,0.021651357389543147
11,0.13629081159397835,0.02347997140571506
12,0.13647605831114068,0.02167990297916086
13,0.14059679879967757,0.02103274017763095
14,0.1380446813379854,0.02230395133609095
