t_shift,conditional_entropy,std
0,0.13629081159397835,0.02347997140571506
1,0.13604006497606824,0.02342832687289796
2,0.1360877133772183,0.023403272237111524
3,0.13611510277481587,0.023376937391173223
4,0.13614901848474273,0.023369670507661935
5,0.13617509167123557,0.023378392387107132
6,0.13626105168616828,0.023430714941440743
7,0.13627518717213152,0.023451728432731776
8,0.13628454026731518,0.023468980749410586
9,0.13628799704253544,0.02347547190908768
10,0.1362901728616728,0.023478239174690427
11,0.13629088517194798,0.023480195682757395
12,0.13629034099480827,0.023479109591098026
13,0.13629056771008108,0.023480131498319623
14,0.13629091600038684,0.02347994124173221
