neurons,transfer_entropy,std
3,0.0020590537459600306,0.002928968970653106
4,0.0014978515769874783,0.0019623745727275124
5,0.001013590784241133,0.00138290933215874
6,0.0007491223675476959,0.001008718084492905
7,0.0007896411876401357,0.0008535951715915693
8,0.0006287823230367004,0.0007137696830782885
9,0.0006891783014430364,0.0007321750872375417
10,0.0005312592552195655,0.0005269473915935299
11,0.0004523918513495137,0.00044327264222412705
12,0.0004347434559604899,0.00044302109775230905
13,0.00043927023191555703,0.0003896734898348189
14,0.0004004264931874173,0.0003658229916791566
