time_shift,transfer_entropy,std
0,0.0006891783014430364,0.0007321750872375417
1,0.0005676374536255957,0.0005468370346016975
2,0.0004905295695271359,0.00045094047753657944
3,0.0004199794056549737,0.0003741710987991666
4,0.0003900822237213912,0.00035635189339168103
5,0.00025545196353579837,0.00020098154826708758
6,0.00023799755892011876,0.0001788389926094532
7,0.00022783068508881686,0.00015507265219897736
8,0.0002189701680510423,0.00013713960980925137
9,0.00021354490983872956,0.0001271238313278001
10,0.00021649666446500165,0.00012171447004983447
11,0.00021028634474443608,0.00011823166056775117
12,0.00020795786548435987,0.00011306370076479745
13,0.00021174642855148956,0.00010828838541738181
14,0.00021206361660968564,0.00010665166253214673
