time_shift,transfer_entropy,std
0,0.0005312592552195655,0.0005269473915935299
1,0.0004544565408251902,0.000391079172954283
2,0.00041225661501107,0.000348080512328994
3,0.0003586978745522518,0.00029175222154095376
4,0.0003239742468668119,0.00027861464070382994
5,0.0002354207267007338,0.00016521605536038962
6,0.00021354518522346996,0.00013604081932069986
7,0.000205847491152921,0.00011916924930842844
8,0.00020630384325682032,0.00011305616533017788
9,0.00019962486156975518,0.00010417548595958212
10,0.00019555065786747698,9.149647277753575e-05
11,0.00019622349046868298,9.292687276628502e-05
12,0.00019482514851819403,9.632694369868403e-05
13,0.00019580061787489083,9.431248515592646e-05
14,0.00019147016827021767,9.153377764550778e-05
15,0.00019463927803177372,8.663798664803705e-05
16,0.00019532024564138827,9.529654835743862e-05
17,0.0001938371025950473,8.757427587745714e-05
18,0.00020092076411070325,9.30848276586817e-05
19,0.00020101803249703565,9.190682573390542e-05
